pathname,component,cversion,Category,Confirmed_License,dje_license_key,attribute,redistribute,track_changes,owner,license_file,notice_file,download_url,copyright,file_type,sha1
/e2fsprogs-1.39/e2fsck/profile.c,profile.c,,Copyleft,GPL 2.0,gpl-2.0,yes,yes,yes,Theodore Ts'o,,,,"Copyright (C) 2005 by Theodore Ts'o.Copyright (C) 1985-2005 by the Massachusetts Institute of Technology.",c language text,87fde75c46dc2248516dda298ef6357ec3a2df6a
/e2fsprogs-1.39/e2fsck/profile.h,profile.h,,Copyleft,GPL 2.0,gpl-2.0,yes,yes,yes,Theodore Ts'o,,,,"Copyright (C) 2005 by Theodore Ts'o.Copyright (C) 1985-2005 by the Massachusetts Institute of Technology.",c language text,c95dd8d01dc42096b40fa9ac0ee96ce56db61c38
/e2fsprogs-1.39/include/nonunix/getopt.h,getopt.h,,Copyleft Limited,LGPL 2.0,lgpl-2.0,yes,yes,yes,GNU C Library,,,http://stuff.mit.edu/afs/sipb.mit.edu/user/tytso/e2fsprogs/include/nonunix/getopt.h,"Copyright (C) 1989,90,91,92,93,94,96,97 Free Software Foundation, Inc.",c language text,2fede7afd8211e66071476da4553a44029be67d5
/e2fsprogs-1.39/install-utils/convfstab,convfstab,,Public Domain,Public Domain,public-domain,,,,M.Weller,,,http://stuff.mit.edu/afs/sipb.mit.edu/user/tytso/e2fsprogs/install-utils/convfstab,,posix shell script text executable,dde2f47f8abbe15627cd5bfe0e2283fbb820eda6
/e2fsprogs-1.39/intl/,intl,,Copyleft Limited,LGPL 2.0,lgpl-2.0,yes,yes,yes,Theodore Ts'o,,,,"Copyright (C) 1995-1997, 2000-2003 Free Software Foundation, Inc.",directory,
/e2fsprogs-1.39/lib/blkid/,blkid,,Copyleft Limited,LGPL 2.1,lgpl-2.1,yes,yes,yes,Theodore Ts'o,,,,"Copyright (C) 2001 Andreas DilgerCopyright (C) 2003 Theodore Ts'oCopyright (C) 1999 by Andries Brouwer",directory,
/e2fsprogs-1.39/lib/e2p/,e2p,,Copyleft Limited,LGPL 2.0,lgpl-2.0,yes,yes,yes,Theodore Ts'o,,,,"Copyright (C) 1992, 1993, 1994  Remy CardCopyright (c) 1999 Theodore Ts",directory,
/e2fsprogs-1.39/lib/et/,et,,Attribution,Kerberos License,kerberos,yes,,,Theodore Ts'o,,,,Copyright 2003 by MIT Student Information Processing Board,directory,
/e2fsprogs-1.39/lib/et/com_right.c,com_right.c,,Attribution,BSD-Modified,bsd-new,yes,,,Kerberos4kth,,,,"Copyright (c) 2003 by Theodore Ts'oCopyright (c) 1997, 1998, 2001 Kungliga Tekniska Hšgskolan",c language text,3d14b06ab31477a1fec4354d8b9f9c82b35896bb
/e2fsprogs-1.39/lib/et/texinfo.tex,texinfo.tex,,Copyleft,GPL 2.0,gpl-2.0,yes,yes,yes,Theodore Ts'o,,,,"Copyright (C) 1985, 1986, 1988 Richard M. Stallman",tex language text,1b73dbf5dbc340a945d2bc75f61cc212f5ae3c08
/e2fsprogs-1.39/lib/et/vfprintf.c,vfprintf.c,,Attribution,Berkeley Software License Agreement ,bsla,yes,,,Theodore Ts'o,,,,Copyright (c) 1988 Regents of the University of California,c language text,01a03815e2550f01bbfe0b40c277e0621c52cec1
/e2fsprogs-1.39/lib/fpopen.c,fpopen.c,,Attribution,Berkeley Software License Agreement ,bsla,yes,,,Theodore Ts'o,,,,"Copyright Theodore Ts'o, 1996-1999.",c language text,6bd791a73921839a749fce1086ff1ede0c434ec2
/e2fsprogs-1.39/lib/ss/,ss,,Attribution,Kerberos License,kerberos,yes,,,Theodore Ts'o,,,,Copyright 2003 by MIT Student Information Processing Board,directory,
/e2fsprogs-1.39/lib/uuid/,uuid,,Attribution,BSD-Modified,bsd-new,yes,,,Theodore Ts'o,,,,"Copyright (C) 1996, 1997 Theodore Ts'o",directory,
/e2fsprogs-1.39/misc/blkid.c,blkid.c,,Copyleft Limited,LGPL 2.1,lgpl-2.1,yes,yes,yes,Theodore Ts'o,,,,Copyright (C) 2001 Andreas Dilger,c language text,6448a75f8212c06bd76f59c6b96024fa94c82f12
